id,level,chapter,section,requirement,applicability,rationale,control,verification_method,evidence,result,gap
v5.0.0-1.2.9,2,Encoding and Sanitization,Injection Prevention,Verify that the application escapes special characters in regular expressions (typically using a backslash) to prevent them from being misinterpreted as metacharacters.,APPLICABLE,Requirement applies to the Injection Prevention surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.2.10,3,Encoding and Sanitization,Injection Prevention,"Verify that the application is protected against CSV and Formula Injection. The application must follow the escaping rules defined in RFC 4180 sections 2.6 and 2.7 when exporting CSV content. Additionally, when exporting to CSV or other spreadsheet formats (such as XLS, XLSX, or ODF), special characters (including '=', '+', '-', '@', '\t' (tab), and '\0' (null character)) must be escaped with a single quote if they appear as the first character in a field value.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Injection Prevention surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,L3 not verified; no L3 claim. Encoding/interpreter review incomplete across every sink.
v5.0.0-1.3.1,1,Encoding and Sanitization,Sanitization,Verify that all untrusted HTML input from WYSIWYG editors or similar is sanitized using a well-known and secure HTML sanitization library or framework feature.,NOT APPLICABLE,No WYSIWYG editor or untrusted HTML rendering; listing HTML is converted to plain text.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.2,1,Encoding and Sanitization,Sanitization,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",APPLICABLE,No eval or exec of external application input in reviewed backend/frontend.,backend; frontend/src,Source/document review,backend; frontend/src,PASS,
v5.0.0-1.3.3,2,Encoding and Sanitization,Sanitization,"Verify that data being passed to a potentially dangerous context is sanitized beforehand to enforce safety measures, such as only allowing characters which are safe for this context and trimming input which is too long.",APPLICABLE,Requirement applies to the Sanitization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.3.4,2,Encoding and Sanitization,Sanitization,"Verify that user-supplied Scalable Vector Graphics (SVG) scriptable content is validated or sanitized to contain only tags and attributes (such as draw graphics) that are safe for the application, e.g., do not contain scripts and foreignObject.",NOT APPLICABLE,No SVG upload or user-controlled SVG rendering.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.5,2,Encoding and Sanitization,Sanitization,"Verify that the application sanitizes or disables user-supplied scriptable or expression template language content, such as Markdown, CSS or XSL stylesheets, BBCode, or similar.",NOT APPLICABLE,No user-supplied Markdown/CSS/XSL/BBCode interpretation.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.6,2,Encoding and Sanitization,Sanitization,"Verify that the application protects against Server-side Request Forgery (SSRF) attacks, by validating untrusted data against an allowlist of protocols, domains, paths and ports and sanitizing potentially dangerous characters before using the data to call another service.",APPLICABLE,Requirement applies to the Sanitization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.3.7,2,Encoding and Sanitization,Sanitization,"Verify that the application protects against template injection attacks by not allowing templates to be built based on untrusted input. Where there is no alternative, any untrusted input being included dynamically during template creation must be sanitized or strictly validated.",APPLICABLE,Requirement applies to the Sanitization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.3.8,2,Encoding and Sanitization,Sanitization,Verify that the application appropriately sanitizes untrusted input before use in Java Naming and Directory Interface (JNDI) queries and that JNDI is configured securely to prevent JNDI injection attacks.,NOT APPLICABLE,Python/TypeScript application has no JVM/JNDI query interface.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.9,2,Encoding and Sanitization,Sanitization,Verify that the application sanitizes content before it is sent to memcache to prevent injection attacks.,NOT APPLICABLE,No memcache service or protocol client.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.10,2,Encoding and Sanitization,Sanitization,Verify that format strings which might resolve in an unexpected or malicious way when used are sanitized before being processed.,APPLICABLE,Requirement applies to the Sanitization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.3.11,2,Encoding and Sanitization,Sanitization,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,NOT APPLICABLE,No SMTP/IMAP mail client or mail sending feature.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.3.12,3,Encoding and Sanitization,Sanitization,"Verify that regular expressions are free from elements causing exponential backtracking, and ensure untrusted input is sanitized to mitigate ReDoS or Runaway Regex attacks.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Sanitization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,L3 not verified; no L3 claim. Encoding/interpreter review incomplete across every sink.
v5.0.0-1.4.1,2,Encoding and Sanitization,"Memory, String, and Unmanaged Code","Verify that the application uses memory-safe string, safer memory copy and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.",APPLICABLE,"Requirement applies to the Memory, String, and Unmanaged Code surface; Encoding/interpreter review incomplete across every sink.",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.4.2,2,Encoding and Sanitization,"Memory, String, and Unmanaged Code","Verify that sign, range, and input validation techniques are used to prevent integer overflows.",APPLICABLE,"Requirement applies to the Memory, String, and Unmanaged Code surface; Encoding/interpreter review incomplete across every sink.",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.4.3,2,Encoding and Sanitization,"Memory, String, and Unmanaged Code","Verify that dynamically allocated memory and resources are released, and that references or pointers to freed memory are removed or set to null to prevent dangling pointers and use-after-free vulnerabilities.",APPLICABLE,"Requirement applies to the Memory, String, and Unmanaged Code surface; Encoding/interpreter review incomplete across every sink.",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.5.1,1,Encoding and Sanitization,Safe Deserialization,Verify that the application configures XML parsers to use a restrictive configuration and that unsafe features such as resolving external entities are disabled to prevent XML eXternal Entity (XXE) attacks.,APPLICABLE,Requirement applies to the Safe Deserialization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.5.2,2,Encoding and Sanitization,Safe Deserialization,"Verify that deserialization of untrusted data enforces safe input handling, such as using an allowlist of object types or restricting client-defined object types, to prevent deserialization attacks. Deserialization mechanisms that are explicitly defined as insecure must not be used with untrusted input.",APPLICABLE,Requirement applies to the Safe Deserialization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.5.3,3,Encoding and Sanitization,Safe Deserialization,"Verify that different parsers used in the application for the same data type (e.g., JSON parsers, XML parsers, URL parsers), perform parsing in a consistent way and use the same character encoding mechanism to avoid issues such as JSON Interoperability vulnerabilities or different URI or file parsing behavior being exploited in Remote File Inclusion (RFI) or Server-side Request Forgery (SSRF) attacks.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Safe Deserialization surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,L3 not verified; no L3 claim. Encoding/interpreter review incomplete across every sink.
v5.0.0-2.1.1,1,Validation and Business Logic,Validation and Business Logic Documentation,"Verify that the application's documentation defines input validation rules for how to check the validity of data items against an expected structure. This could be common data formats such as credit card numbers, email addresses, telephone numbers, or it could be an internal data format.",APPLICABLE,Input/upload/business-security limits documented.,docs/security/DATA_PROTECTION.md,Source/document review,docs/security/DATA_PROTECTION.md,PASS,
v5.0.0-2.1.2,2,Validation and Business Logic,Validation and Business Logic Documentation,"Verify that the application's documentation defines how to validate the logical and contextual consistency of combined data items, such as checking that suburb and ZIP code match.",APPLICABLE,Requirement applies to the Validation and Business Logic Documentation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.1.3,2,Validation and Business Logic,Validation and Business Logic Documentation,"Verify that expectations for business logic limits and validations are documented, including both per-user and globally across the application.",APPLICABLE,Requirement applies to the Validation and Business Logic Documentation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.2.1,1,Validation and Business Logic,Input Validation,"Verify that input is validated to enforce business or functional expectations for that input. This should either use positive validation against an allow list of values, patterns, and ranges, or be based on comparing the input to an expected structure and logical limits according to predefined rules. For L1, this can focus on input which is used to make specific business or security decisions. For L2 and up, this should apply to all input.",APPLICABLE,Requirement applies to the Input Validation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.2.2,1,Validation and Business Logic,Input Validation,"Verify that the application is designed to enforce input validation at a trusted service layer. While client-side validation improves usability and should be encouraged, it must not be relied upon as a security control.",APPLICABLE,Security validation is server-side; browser validation is not the guard.,backend/main.py; tests/security/test_http_boundary.py::test_http_security_boundary,Source/document review and existing regression (execution status in release evidence),backend/main.py; tests/security/test_http_boundary.py::test_http_security_boundary,PASS,
v5.0.0-2.2.3,2,Validation and Business Logic,Input Validation,Verify that the application ensures that combinations of related data items are reasonable according to the pre-defined rules.,APPLICABLE,Requirement applies to the Input Validation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.3.1,1,Validation and Business Logic,Business Logic Security,Verify that the application will only process business logic flows for the same user in the expected sequential step order and without skipping steps.,APPLICABLE,Requirement applies to the Business Logic Security surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.3.2,2,Validation and Business Logic,Business Logic Security,Verify that business logic limits are implemented per the application's documentation to avoid business logic flaws being exploited.,APPLICABLE,Requirement applies to the Business Logic Security surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.3.3,2,Validation and Business Logic,Business Logic Security,Verify that transactions are being used at the business logic level such that either a business logic operation succeeds in its entirety or it is rolled back to the previous correct state.,APPLICABLE,Requirement applies to the Business Logic Security surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.3.4,2,Validation and Business Logic,Business Logic Security,Verify that business logic level locking mechanisms are used to ensure that limited quantity resources (such as theater seats or delivery slots) cannot be double-booked by manipulating the application's logic.,APPLICABLE,Requirement applies to the Business Logic Security surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.3.5,3,Validation and Business Logic,Business Logic Security,"Verify that high-value business logic flows require multi-user approval to prevent unauthorized or accidental actions. This could include but is not limited to large monetary transfers, contract approvals, access to classified information, or safety overrides in manufacturing.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Business Logic Security surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,L3 not verified; no L3 claim. Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.4.1,2,Validation and Business Logic,Anti-automation,"Verify that anti-automation controls are in place to protect against excessive calls to application functions that could lead to data exfiltration, garbage-data creation, quota exhaustion, rate-limit breaches, denial-of-service, or overuse of costly resources.",APPLICABLE,Requirement applies to the Anti-automation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-2.4.2,3,Validation and Business Logic,Anti-automation,"Verify that business logic flows require realistic human timing, preventing excessively rapid transaction submissions.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Anti-automation surface; Business flow and generic dict inputs require complete per-endpoint validation review.,backend/main.py; backend/policy.py; backend/ai_usage.py,Source review; additional requirement-specific verification required,backend/main.py; backend/policy.py; backend/ai_usage.py,PARTIAL,L3 not verified; no L3 claim. Business flow and generic dict inputs require complete per-endpoint validation review.
v5.0.0-3.1.1,3,Web Frontend Security,Web Frontend Security Documentation,"Verify that application documentation states the expected security features that browsers using the application must support (such as HTTPS, HTTP Strict Transport Security (HSTS), Content Security Policy (CSP), and other relevant HTTP security mechanisms). It must also define how the application must behave when some of these features are not available (such as warning the user or blocking access).",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Web Frontend Security Documentation surface; Early-return headers and browser state need targeted verification.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,L3 not verified; no L3 claim. Early-return headers and browser state need targeted verification.
v5.0.0-3.2.1,1,Web Frontend Security,Unintended Content Interpretation,"Verify that security controls are in place to prevent browsers from rendering content or functionality in HTTP responses in an incorrect context (e.g., when an API, a user-uploaded file or other resource is requested directly). Possible controls could include: not serving the content unless HTTP request header fields (such as Sec-Fetch-\*) indicate it is the correct context, using the sandbox directive of the Content-Security-Policy header field or using the attachment disposition type in the Content-Disposition header field.",APPLICABLE,Requirement applies to the Unintended Content Interpretation surface; Early-return headers and browser state need targeted verification.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,Early-return headers and browser state need targeted verification.
v5.0.0-3.2.2,1,Web Frontend Security,Unintended Content Interpretation,"Verify that content intended to be displayed as text, rather than rendered as HTML, is handled using safe rendering functions (such as createTextNode or textContent) to prevent unintended execution of content such as HTML or JavaScript.",APPLICABLE,Untrusted text rendered through React text expressions; no unsafe innerHTML sink found.,frontend/src; tests/security/test_http_boundary.py::test_http_security_boundary,Source/document review and existing regression (execution status in release evidence),frontend/src; tests/security/test_http_boundary.py::test_http_security_boundary,PASS,
v5.0.0-3.2.3,3,Web Frontend Security,Unintended Content Interpretation,"Verify that the application avoids DOM clobbering when using client-side JavaScript by employing explicit variable declarations, performing strict type checking, avoiding storing global variables on the document object, and implementing namespace isolation.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the Unintended Content Interpretation surface; Early-return headers and browser state need targeted verification.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,L3 not verified; no L3 claim. Early-return headers and browser state need targeted verification.
v5.0.0-3.3.1,1,Web Frontend Security,Cookie Setup,"Verify that cookies have the 'Secure' attribute set, and if the '\__Host-' prefix is not used for the cookie name, the '__Secure-' prefix must be used for the cookie name.",NOT APPLICABLE,"No Set-Cookie or application cookie mechanism; frontend uses browser storage, not cookies.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.3.2,2,Web Frontend Security,Cookie Setup,"Verify that each cookie's 'SameSite' attribute value is set according to the purpose of the cookie, to limit exposure to user interface redress attacks and browser-based request forgery attacks, commonly known as cross-site request forgery (CSRF).",NOT APPLICABLE,"No Set-Cookie or application cookie mechanism; frontend uses browser storage, not cookies.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.3.3,2,Web Frontend Security,Cookie Setup,Verify that cookies have the '__Host-' prefix for the cookie name unless they are explicitly designed to be shared with other hosts.,NOT APPLICABLE,"No Set-Cookie or application cookie mechanism; frontend uses browser storage, not cookies.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.3.4,2,Web Frontend Security,Cookie Setup,"Verify that if the value of a cookie is not meant to be accessible to client-side scripts (such as a session token), the cookie must have the 'HttpOnly' attribute set and the same value (e. g. session token) must only be transferred to the client via the 'Set-Cookie' header field.",NOT APPLICABLE,"No Set-Cookie or application cookie mechanism; frontend uses browser storage, not cookies.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.3.5,3,Web Frontend Security,Cookie Setup,"Verify that when the application writes a cookie, the cookie name and value length combined are not over 4096 bytes. Overly large cookies will not be stored by the browser and therefore not sent with requests, preventing the user from using application functionality which relies on that cookie.",NOT APPLICABLE,"No Set-Cookie or application cookie mechanism; frontend uses browser storage, not cookies.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.4.1,1,Web Frontend Security,Browser Security Mechanism Headers,"Verify that a Strict-Transport-Security header field is included on all responses to enforce an HTTP Strict Transport Security (HSTS) policy. A maximum age of at least 1 year must be defined, and for L2 and up, the policy must apply to all subdomains as well.",NOT APPLICABLE,"Supported listener is HTTP on numeric loopback, with no TLS domain/subdomain deployment; HSTS does not secure this supported loopback transport. Public hosting is unsupported.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-3.4.2,1,Web Frontend Security,Browser Security Mechanism Headers,"Verify that the Cross-Origin Resource Sharing (CORS) Access-Control-Allow-Origin header field is a fixed value by the application, or if the Origin HTTP request header field value is used, it is validated against an allowlist of trusted origins. When 'Access-Control-Allow-Origin: *' needs to be used, verify that the response does not include any sensitive information.",APPLICABLE,No permissive CORS response; supplied Origin checked against explicit localhost allowlist.,backend/main.py; tests/security/test_http_boundary.py::test_http_security_boundary,Source/document review and existing regression (execution status in release evidence),backend/main.py; tests/security/test_http_boundary.py::test_http_security_boundary,PASS,
v5.0.0-3.4.3,2,Web Frontend Security,Browser Security Mechanism Headers,"Verify that HTTP responses include a Content-Security-Policy response header field which defines directives to ensure the browser only loads and executes trusted content or resources, in order to limit execution of malicious JavaScript. As a minimum, a global policy must be used which includes the directives object-src 'none' and base-uri 'none' and defines either an allowlist or uses nonces or hashes. For an L3 application, a per-response policy with nonces or hashes must be defined.",APPLICABLE,Requirement applies to the Browser Security Mechanism Headers surface; Early-return headers and browser state need targeted verification.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,Early-return headers and browser state need targeted verification.
v5.0.0-3.4.4,2,Web Frontend Security,Browser Security Mechanism Headers,"Verify that all HTTP responses contain an 'X-Content-Type-Options: nosniff' header field. This instructs browsers not to use content sniffing and MIME type guessing for the given response, and to require the response's Content-Type header field value to match the destination resource. For example, the response to a request for a style is only accepted if the response's Content-Type is 'text/css'. This also enables the use of the Cross-Origin Read Blocking (CORB) functionality by the browser.",APPLICABLE,Requirement applies to the Browser Security Mechanism Headers surface; Early-return headers and browser state need targeted verification.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,Early-return headers and browser state need targeted verification.
