group,task,intent,applicability,implementation,evidence,method,status,gap
PW,PW.9.1,"Define a secure baseline by determining how to configure each setting that has an effect on security or a security-related setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services.",APPLICABLE,Local/rules/demo/security defaults defined.,docs/security/DATA_PROTECTION.md; backend/main.py,Manual,IMPLEMENTED,Public exposure unsupported
PW,PW.9.2,"Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators.",APPLICABLE,Defaults implemented/documented.,setup.bat; README.md; backend/main.py,Manual,PARTIAL,Clean-host installation not yet proven
RV,RV.1.1,"Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports.",APPLICABLE,Intake and advisory sources specified.,SECURITY.md; .github/dependabot.yml,Automated + Manual,PARTIAL,Private channel and alerts not active
RV,RV.1.2,"Review, analyze, and/or test the software’s code to identify or confirm the presence of previously undetected vulnerabilities.",APPLICABLE,Source review found privacy weakness.,tests/security; docs/security/RISK_REGISTER.md,Automated + Manual,PARTIAL,Hosted SAST and repeat review pending
RV,RV.1.3,"Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.",APPLICABLE,"Owner, disclosure and triage process defined.",SECURITY.md; docs/security/VULNERABILITY_MANAGEMENT.md,Manual,PARTIAL,Private reporting not active
RV,RV.2.1,Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response.,APPLICABLE,Risk rationale/classification and blocking decisions recorded.,docs/security/RISK_REGISTER.md,Manual,IMPLEMENTED,CVSS only on confirmed suitable vulnerability scope
RV,RV.2.2,Plan and implement risk responses for vulnerabilities.,APPLICABLE,Private-report issue remediated; other responses tracked.,scripts/publication_gate.py; docs/security/RISK_REGISTER.md,Automated + Manual,PARTIAL,Close remaining release blockers
RV,RV.3.1,Analyze identified vulnerabilities to determine their root causes.,APPLICABLE,R-06 root cause recorded.,docs/security/RISK_REGISTER.md,Manual,IMPLEMENTED,Apply to subsequent findings
RV,RV.3.2,"Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently.",APPLICABLE,No longitudinal root-cause trend evidence.,docs/security/OWASP_SAMM_ROADMAP.md,Manual,NOT IMPLEMENTED,Quarterly pattern review
RV,RV.3.3,"Review the software for similar vulnerabilities to eradicate a class of vulnerabilities, and proactively fix them rather than waiting for external reports.",APPLICABLE,Expanded source/history and report pattern checks.,scripts/publication_gate.py,Automated + Manual,PARTIAL,Complete manual content/image review and class-wide tests
RV,RV.3.4,"Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.",APPLICABLE,Privacy incident feeds mandatory artifact review and evidence gate.,docs/security/SECURE_SDLC.md; docs/security/RISK_REGISTER.md,Manual,IMPLEMENTED,Verify sustained operation
